session,segment,skill,items,correct,pct,self_difficulty_1to5,tier
1,00-check,placement,12,1,8,5,A1
1,02-grammar,grammar,21,20,95,,A1
1,03-reading,reading,7,7,100,,A1
2,00-check,grammar,13,11,85,2,A1
2,02-grammar,grammar,20,20,100,,A1
2,03-writing,writing,1,1,90,,A1
3,00-check,grammar,11,10,91,,A1
3,02-grammar,grammar,18,16,89,,A1
3,02-grammar,grammar,17,15,88,,A1
3,03-reading,reading,9,9,100,,A1
4,00-check,grammar,10,8,80,,A1
4,02-grammar,grammar,12,12,100,,A1
4,02-grammar,grammar,14,13,93,,A1
4,03-writing,writing,1,1,88,,A1
4,03-writing,writing,1,1,90,,A1
5,00-check,grammar,8,8,100,,A1
5,02-grammar,grammar,13,13,100,,A1
5,02-grammar,grammar,11,11,100,,A1
5,03-reading,reading,8,8,100,,A1
6,00-check,grammar,7,7,100,,A1
6,02-grammar,grammar,12,10,83,,A1
6,02-grammar,grammar,10,9,90,,A1
6,03-writing,writing,1,1,84,,A1
6,03-writing,writing,1,1,90,,A1
7,00-check,grammar,5,5,100,,A1
7,02-grammar,grammar,10,10,100,,A1
7,05-test,grammar,17,16,94,,A1
8,00-check,grammar,7,7,100,,A1
8,02-grammar,grammar,12,12,100,,A1
8,02-grammar,grammar,10,9,90,,A1
8,02-grammar,grammar,8,7,88,,A1
8,03-reading,reading,12,11,92,,A1
